Place,21-03-2020
Hartlepool,2
Middlesbrough,1
Redcar and Cleveland,3
Stockton-on-Tees,10
Darlington,3
Halton,7
Warrington,4
Blackburn with Darwen,1
Blackpool,5
"Kingston upon Hull, City of",1
East Riding of Yorkshire,15
North East Lincolnshire,0
North Lincolnshire,2
York,8
Derby,18
Leicester,14
Rutland,0
Nottingham,22
"Herefordshire, County of",7
Telford and Wrekin,0
Stoke-on-Trent,2
Bath and North East Somerset,11
"Bristol, City of",20
North Somerset,5
South Gloucestershire,14
Plymouth,11
Torbay,10
Swindon,5
Peterborough,2
Luton,5
Southend-on-Sea,8
Thurrock,8
Medway,11
Bracknell Forest,3
West Berkshire,7
Reading,7
Slough,21
Windsor and Maidenhead,13
Wokingham,13
Milton Keynes,7
Brighton and Hove,17
Portsmouth,22
Southampton,8
Isle of Wight,2
County Durham,11
Cheshire East,11
Cheshire West and Chester,10
Shropshire,3
Cornwall,0
Cornwall,20
Isles of Scilly,0
Wiltshire,20
Bedford,4
Trafford,19
Central Bedfordshire,11
Northumberland,10
"Bournemouth, Christchurch and Poole",11
Dorset,8
Bolton,15
Bury,11
Manchester,28
Oldham,15
Rochdale,13
Salford,12
Stockport,24
Tameside,21
Wigan,9
Knowsley,4
Liverpool,18
St. Helens,3
Sefton,7
Wirral,10
Barnsley,7
Doncaster,5
Rotherham,6
Sheffield,61
Newcastle upon Tyne,28
North Tyneside,17
South Tyneside,5
Sunderland,11
Birmingham,75
Coventry,9
Dudley,19
Sandwell,15
Solihull,4
Walsall,28
Wolverhampton,45
Bradford,10
Calderdale,5
Kirklees,8
Leeds,20
Wakefield,8
Gateshead,2
City of London,0
Barking and Dagenham,30
Barnet,81
Bexley,37
Brent,108
Bromley,63
Camden,51
Croydon,81
Ealing,80
Enfield,54
Greenwich,54
Hackney,52
Hammersmith and Fulham,45
Haringey,51
Harrow,89
Havering,30
Hillingdon,50
Hounslow,52
Islington,48
Kensington and Chelsea,75
Kingston upon Thames,22
Lambeth,118
Lewisham,60
Merton,56
Newham,51
Redbridge,42
Richmond upon Thames,22
Southwark,134
Sutton,23
Tower Hamlets,51
Waltham Forest,38
Wandsworth,107
Westminster,110
Buckinghamshire,41
Cambridgeshire,17
Cumbria,57
Derbyshire,64
Devon,42
East Sussex,8
Essex,45
Gloucestershire,27
Hampshire,138
Hertfordshire,75
Kent,45
Lancashire,30
Leicestershire,29
Lincolnshire,9
Norfolk,24
Northamptonshire,20
North Yorkshire,16
Nottinghamshire,45
Oxfordshire,44
Somerset,12
Staffordshire,35
Suffolk,15
Surrey,65
Warwickshire,17
West Sussex,27
Worcestershire,12
Ayrshire and Arran,21
Borders,10
Dumfries and Galloway,13
Forth Valley,27
Grampian,20
Highland,8
Lothian,44
Orkney,0
Shetland,24
Western Isles,0
Fife,13
Tayside,34
Greater Glasgow and Clyde,110
Lanarkshire,49
Northern Ireland,108
Betsi Cadwaladr University Health Board,8
Powys Teaching Health Board,9
Hywel Dda University Health Board,14
Aneurin Bevan University Health Board,145
Cardiff and Vale University Health Board,51
Cwm Taf Morgannwg University Health Board,9
Swansea Bay University Health Board,41
